model_key,model_type,template,run_idx,l1_sentences_count,induced_prompt_chars,induced_prompt_words,prompt_shorter_than_l1,l2_sentences_count,mean_sim,mean_max_sim,l1_error,induction_error
gemini-3.5-flash,LLM,center_embedding,1,5,246.0,41.0,True,5,,,,
qwen3-30b-a3b,LLM,center_embedding,1,5,218.0,37.0,True,5,,,,
glm-4.5,LLM,center_embedding,1,5,121.0,21.0,True,5,,,,
deepseek-v3,LLM,center_embedding,1,5,176.0,22.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,1,5,208.0,33.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,1,5,239.0,40.0,True,5,,,,
deepseek-v3,LLM,center_embedding,2,5,210.0,30.0,True,5,,,,
qwen3-30b-a3b,LLM,center_embedding,2,5,252.0,40.0,True,1,,,,
qwen3-30b-a3b-think,LRM,center_embedding,1,5,55.0,12.0,True,5,,,,
glm-4.5,LLM,center_embedding,2,5,137.0,23.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,2,5,266.0,41.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,2,5,343.0,48.0,True,5,,,,
qwen3-30b-a3b-think,LRM,center_embedding,2,5,54.0,12.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,2,5,289.0,50.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,1,5,258.0,41.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,2,5,269.0,49.0,True,5,,,,
glm-4.5-think,LRM,center_embedding,2,5,108.0,29.0,True,5,,,,
qwen3-30b-a3b,LLM,center_embedding,3,5,214.0,37.0,True,5,,,,
deepseek-v3,LLM,center_embedding,3,5,275.0,45.0,True,5,,,,
glm-4.5,LLM,center_embedding,3,5,136.0,22.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,3,5,156.0,25.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,3,5,354.0,57.0,True,5,,,,
qwen3-30b-a3b-think,LRM,center_embedding,3,5,39.0,7.0,True,5,,,,
glm-4.5-think,LRM,center_embedding,3,5,33.0,6.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,3,5,223.0,36.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,3,5,312.0,52.0,True,5,,,,
glm-4.5-think,LRM,center_embedding,1,5,184.0,28.0,True,5,,,,
qwen3-30b-a3b,LLM,center_embedding,4,5,204.0,34.0,True,5,,,,
deepseek-v3,LLM,center_embedding,4,5,208.0,28.0,True,5,,,,
glm-4.5,LLM,center_embedding,4,5,108.0,21.0,True,5,,,,
qwen3-30b-a3b-think,LRM,center_embedding,4,5,93.0,14.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,4,5,385.0,69.0,False,5,,,,
claude-sonnet-4.6,LLM,center_embedding,4,5,265.0,41.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,4,5,229.0,37.0,True,5,,,,
qwen3-30b-a3b-think,LRM,center_embedding,5,5,63.0,10.0,True,0,,,,
glm-4.5-think,LRM,center_embedding,4,5,205.0,37.0,True,5,,,,
deepseek-v3,LLM,center_embedding,5,5,200.0,29.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,4,5,316.0,53.0,True,5,,,,
qwen3-30b-a3b,LLM,center_embedding,5,5,193.0,32.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,5,5,276.0,48.0,True,5,,,,
glm-4.5,LLM,center_embedding,5,5,147.0,24.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,5,5,141.0,23.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,5,5,295.0,41.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,5,5,290.0,50.0,True,5,,,,
qwen3-30b-a3b-think,LRM,center_embedding,6,5,76.0,12.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,6,5,230.0,36.0,True,5,,,,
deepseek-r1,LRM,center_embedding,1,5,280.0,45.0,True,5,,,,
deepseek-v3,LLM,center_embedding,6,5,178.0,22.0,True,5,,,,
qwen3-30b-a3b,LLM,center_embedding,6,5,264.0,44.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,6,5,203.0,34.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,6,5,192.0,30.0,True,5,,,,
glm-4.5,LLM,center_embedding,6,5,148.0,24.0,True,5,,,,
deepseek-r1,LRM,center_embedding,2,5,205.0,32.0,True,5,,,,
