model_key,model_type,template,run_idx,l1_sentences_count,induced_prompt_chars,induced_prompt_words,prompt_shorter_than_l1,l2_sentences_count,mean_sim,mean_max_sim,l1_error,induction_error
claude-sonnet-4.6,LLM,center_embedding,1,5,122.0,15.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,1,5,134.0,18.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,1,5,188.0,29.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,1,5,155.0,19.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,2,5,133.0,19.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,2,5,155.0,22.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,2,5,175.0,35.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,2,5,154.0,20.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,3,5,112.0,15.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,3,5,139.0,21.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,3,5,166.0,28.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,3,5,179.0,23.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,4,5,167.0,23.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,4,5,211.0,33.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,4,5,161.0,21.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,4,5,145.0,22.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,5,5,128.0,18.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,5,5,113.0,14.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,5,5,260.0,42.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,5,5,168.0,35.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,6,5,132.0,20.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,6,5,150.0,21.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,6,5,204.0,27.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,6,5,178.0,29.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,7,5,113.0,16.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,7,5,158.0,24.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,7,5,275.0,39.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,8,5,126.0,18.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,8,5,122.0,17.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,7,5,176.0,22.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,8,5,146.0,20.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,8,5,167.0,30.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,9,5,137.0,20.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,9,5,132.0,18.0,True,5,,,,
